volt,cur
0.0,0.001
3.9759,2.9991
3.9705,2.9992
3.968,2.9991
3.9659,2.9991
3.9643,2.9991
3.9631,2.9991
3.9619,2.9991
3.961,2.9991
3.9602,2.9991
3.9594,2.9991
3.9588,2.9991
3.9582,2.999
3.9576,2.9991
3.9571,2.9991
3.9566,2.9991
3.9562,2.9991
3.9558,2.999
3.9555,2.999
3.9552,2.999
3.9549,2.999
3.9545,2.999
3.9542,2.9991
3.954,2.9991
3.9538,2.999
3.9536,2.9991
3.9534,2.999
3.9532,2.999
3.953,2.999
3.9528,2.999
3.9526,2.999
3.9524,2.999
3.9522,2.999
3.9519,2.999
3.9518,2.999
3.9517,2.9991
3.9516,2.9989
3.9514,2.999
3.9512,2.999
3.9512,2.999
3.9511,2.9989
3.9509,2.999
3.9509,2.999
3.9507,2.9989
3.9507,2.9989
3.9507,2.9989
3.9506,2.9989
3.9505,2.9989
3.9505,2.9989
3.9505,2.999
3.9504,2.9989
3.9503,2.9989
3.9502,2.9989
3.9502,2.9989
3.9501,2.9989
3.9501,2.9989
3.95,2.9989
3.95,2.9988
3.9499,2.9988
3.9498,2.9989
3.9498,2.9988
3.9497,2.9989
3.9497,2.9988
3.9495,2.9989
3.9497,2.9989
3.9495,2.9988
3.9495,2.9989
3.9495,2.9989
3.9495,2.9988
3.9494,2.9989
3.9493,2.9989
3.9493,2.9988
3.9492,2.9989
3.9492,2.9988
3.9491,2.9989
3.9491,2.9989
3.9491,2.9988
3.9491,2.9987
3.949,2.9989
3.9491,2.9988
3.9491,2.9988
3.9491,2.9988
3.9492,2.9988
3.9492,2.9988
3.9492,2.9987
3.9492,2.9988
3.9492,2.9988
3.9493,2.9988
0.0,0.0011
